county,precinct,office,district,party,candidate,absentee,early_votes,election_day,votes
County of Hawaii,01-01,President and Vice President,,R,"ROMNEY, Mitt / RYAN, Paul",82,34,172,288
County of Hawaii,01-01,President and Vice President,,G,"STEIN, Jill / HONKALA, Cheri",8,2,10,20
County of Hawaii,01-01,President and Vice President,,L,"JOHNSON, Gary / GRAY, James P.",6,2,17,25
County of Hawaii,01-01,President and Vice President,,D,"OBAMA, Barack / BIDEN, Joe",549,126,696,1371
County of Hawaii,01-01,US Senator,,D,"HIRONO, Mazie",492,117,645,1254
County of Hawaii,01-01,US Senator,,R,"LINGLE, Linda",142,48,243,433
County of Hawaii,01-01,US Representative,2,R,"CROWLEY, Kawika",69,30,110,209
County of Hawaii,01-01,US Representative,2,D,"GABBARD, Tulsi",552,131,765,1448
County of Hawaii,01-01,State Senator,4,G,"GREENWELL, Kelly",186,54,252,492
County of Hawaii,01-01,State Senator,4,D,"SOLOMON, Malama",428,106,590,1124
County of Hawaii,01-02,President and Vice President,,R,"ROMNEY, Mitt / RYAN, Paul",41,11,58,110
County of Hawaii,01-02,President and Vice President,,G,"STEIN, Jill / HONKALA, Cheri",1,0,5,6
County of Hawaii,01-02,President and Vice President,,L,"JOHNSON, Gary / GRAY, James P.",4,0,5,9
County of Hawaii,01-02,President and Vice President,,D,"OBAMA, Barack / BIDEN, Joe",171,30,255,456
County of Hawaii,01-02,US Senator,,D,"HIRONO, Mazie",155,29,241,425
County of Hawaii,01-02,US Senator,,R,"LINGLE, Linda",61,12,78,151
County of Hawaii,01-02,US Representative,2,R,"CROWLEY, Kawika",32,6,45,83
County of Hawaii,01-02,US Representative,2,D,"GABBARD, Tulsi",179,35,263,477
County of Hawaii,01-02,State Senator,4,G,"GREENWELL, Kelly",48,15,93,156
County of Hawaii,01-02,State Senator,4,D,"SOLOMON, Malama",154,24,209,387
County of Hawaii,01-03,President and Vice President,,R,"ROMNEY, Mitt / RYAN, Paul",50,8,60,118
County of Hawaii,01-03,President and Vice President,,G,"STEIN, Jill / HONKALA, Cheri",2,0,2,4
County of Hawaii,01-03,President and Vice President,,L,"JOHNSON, Gary / GRAY, James P.",6,1,8,15
County of Hawaii,01-03,President and Vice President,,D,"OBAMA, Barack / BIDEN, Joe",198,41,264,503
County of Hawaii,01-03,US Senator,,D,"HIRONO, Mazie",174,35,245,454
County of Hawaii,01-03,US Senator,,R,"LINGLE, Linda",75,15,86,176
County of Hawaii,01-03,US Representative,2,R,"CROWLEY, Kawika",35,10,50,95
County of Hawaii,01-03,US Representative,2,D,"GABBARD, Tulsi",212,38,264,514
County of Hawaii,01-03,State Senator,4,G,"GREENWELL, Kelly",63,11,91,165
County of Hawaii,01-03,State Senator,4,D,"SOLOMON, Malama",174,33,210,417
County of Hawaii,01-04,President and Vice President,,R,"ROMNEY, Mitt / RYAN, Paul",16,7,31,54
