county,precinct,office,district,party,candidate,absentee,early_votes,election_day,votes
County of Hawaii,01-01,US Senator,,G,"BREWER, Jim",0,0,42,42
County of Hawaii,01-01,US Senator,,R,"CAVASSO, Cam",0,0,240,240
County of Hawaii,01-01,US Senator,,D,"INOUYE, Daniel K.",0,0,862,862
County of Hawaii,01-01,US Senator,,N,"JARRETT, Jeff",0,0,14,14
County of Hawaii,01-01,US Senator,,L,"MALLAN, Lloyd Jeffrey",0,0,21,21
County of Hawaii,01-01,US Representative,2,L,"BROCK, Pat",0,0,34,34
County of Hawaii,01-01,US Representative,2,D,"HIRONO, Mazie",0,0,808,808
County of Hawaii,01-01,US Representative,2,N,"VON SONN, Andrew Vsevolod",0,0,12,12
County of Hawaii,01-01,US Representative,2,R,"WILLOUGHBY, John W.",0,0,278,278
County of Hawaii,01-01,Governor,,D,ABERCROMBIE / SCHATZ,0,0,716,716
County of Hawaii,01-01,Governor,,R,AIONA / FINNEGAN,0,0,466,466
County of Hawaii,01-01,Governor,,F,CUNNINGHAM / SPENCE,0,0,5,5
County of Hawaii,01-01,Governor,,N,POLLARD / KAMA,0,0,10,10
County of Hawaii,01-01,State Representative,1,R,"D'ALMEIDA, Eric Paul",0,0,308,308
County of Hawaii,01-01,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,804,804
County of Hawaii,01-02,US Senator,,G,"BREWER, Jim",0,0,12,12
County of Hawaii,01-02,US Senator,,R,"CAVASSO, Cam",0,0,26,26
County of Hawaii,01-02,US Senator,,D,"INOUYE, Daniel K.",0,0,124,124
County of Hawaii,01-02,US Senator,,N,"JARRETT, Jeff",0,0,1,1
County of Hawaii,01-02,US Senator,,L,"MALLAN, Lloyd Jeffrey",0,0,6,6
County of Hawaii,01-02,US Representative,2,L,"BROCK, Pat",0,0,4,4
County of Hawaii,01-02,US Representative,2,D,"HIRONO, Mazie",0,0,130,130
County of Hawaii,01-02,US Representative,2,N,"VON SONN, Andrew Vsevolod",0,0,1,1
County of Hawaii,01-02,US Representative,2,R,"WILLOUGHBY, John W.",0,0,26,26
County of Hawaii,01-02,Governor,,D,ABERCROMBIE / SCHATZ,0,0,131,131
County of Hawaii,01-02,Governor,,R,AIONA / FINNEGAN,0,0,43,43
County of Hawaii,01-02,Governor,,F,CUNNINGHAM / SPENCE,0,0,0,0
County of Hawaii,01-02,Governor,,N,POLLARD / KAMA,0,0,1,1
County of Hawaii,01-02,State Representative,1,R,"D'ALMEIDA, Eric Paul",0,0,42,42
County of Hawaii,01-02,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,112,112
County of Hawaii,01-03,US Senator,,G,"BREWER, Jim",0,0,14,14
County of Hawaii,01-03,US Senator,,R,"CAVASSO, Cam",0,0,73,73
County of Hawaii,01-03,US Senator,,D,"INOUYE, Daniel K.",0,0,525,525
County of Hawaii,01-03,US Senator,,N,"JARRETT, Jeff",0,0,4,4
County of Hawaii,01-03,US Senator,,L,"MALLAN, Lloyd Jeffrey",0,0,5,5
County of Hawaii,01-03,US Representative,2,L,"BROCK, Pat",0,0,5,5
County of Hawaii,01-03,US Representative,2,D,"HIRONO, Mazie",0,0,512,512
County of Hawaii,01-03,US Representative,2,N,"VON SONN, Andrew Vsevolod",0,0,1,1
County of Hawaii,01-03,US Representative,2,R,"WILLOUGHBY, John W.",0,0,74,74
County of Hawaii,01-03,Governor,,D,ABERCROMBIE / SCHATZ,0,0,452,452
County of Hawaii,01-03,Governor,,R,AIONA / FINNEGAN,0,0,180,180
County of Hawaii,01-03,Governor,,F,CUNNINGHAM / SPENCE,0,0,3,3
County of Hawaii,01-03,Governor,,N,POLLARD / KAMA,0,0,1,1
County of Hawaii,01-03,State Representative,1,R,"D'ALMEIDA, Eric Paul",0,0,107,107
County of Hawaii,01-03,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,474,474
County of Hawaii,01-04,US Senator,,G,"BREWER, Jim",0,0,25,25
County of Hawaii,01-04,US Senator,,R,"CAVASSO, Cam",0,0,145,145
County of Hawaii,01-04,US Senator,,D,"INOUYE, Daniel K.",0,0,736,736
County of Hawaii,01-04,US Senator,,N,"JARRETT, Jeff",0,0,6,6
County of Hawaii,01-04,US Senator,,L,"MALLAN, Lloyd Jeffrey",0,0,8,8
County of Hawaii,01-04,US Representative,2,L,"BROCK, Pat",0,0,14,14
County of Hawaii,01-04,US Representative,2,D,"HIRONO, Mazie",0,0,683,683
County of Hawaii,01-04,US Representative,2,N,"VON SONN, Andrew Vsevolod",0,0,7,7
County of Hawaii,01-04,US Representative,2,R,"WILLOUGHBY, John W.",0,0,159,159
County of Hawaii,01-04,Governor,,D,ABERCROMBIE / SCHATZ,0,0,604,604
County of Hawaii,01-04,Governor,,R,AIONA / FINNEGAN,0,0,331,331
County of Hawaii,01-04,Governor,,F,CUNNINGHAM / SPENCE,0,0,5,5
County of Hawaii,01-04,Governor,,N,POLLARD / KAMA,0,0,4,4
County of Hawaii,01-04,State Representative,1,R,"D'ALMEIDA, Eric Paul",0,0,199,199
County of Hawaii,01-04,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,689,689
County of Hawaii,01-05,US Senator,,G,"BREWER, Jim",0,0,11,11
County of Hawaii,01-05,US Senator,,R,"CAVASSO, Cam",0,0,56,56
County of Hawaii,01-05,US Senator,,D,"INOUYE, Daniel K.",0,0,282,282
County of Hawaii,01-05,US Senator,,N,"JARRETT, Jeff",0,0,3,3
County of Hawaii,01-05,US Senator,,L,"MALLAN, Lloyd Jeffrey",0,0,6,6
County of Hawaii,01-05,US Representative,2,L,"BROCK, Pat",0,0,9,9
County of Hawaii,01-05,US Representative,2,D,"HIRONO, Mazie",0,0,277,277
County of Hawaii,01-05,US Representative,2,N,"VON SONN, Andrew Vsevolod",0,0,2,2
County of Hawaii,01-05,US Representative,2,R,"WILLOUGHBY, John W.",0,0,60,60
County of Hawaii,01-05,Governor,,D,ABERCROMBIE / SCHATZ,0,0,256,256
County of Hawaii,01-05,Governor,,R,AIONA / FINNEGAN,0,0,110,110
County of Hawaii,01-05,Governor,,F,CUNNINGHAM / SPENCE,0,0,3,3
County of Hawaii,01-05,Governor,,N,POLLARD / KAMA,0,0,2,2
County of Hawaii,01-05,State Representative,1,R,"D'ALMEIDA, Eric Paul",0,0,67,67
County of Hawaii,01-05,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,272,272
County of Hawaii,01-06,US Senator,,G,"BREWER, Jim",0,0,12,12
County of Hawaii,01-06,US Senator,,R,"CAVASSO, Cam",0,0,52,52
County of Hawaii,01-06,US Senator,,D,"INOUYE, Daniel K.",0,0,271,271
County of Hawaii,01-06,US Senator,,N,"JARRETT, Jeff",0,0,2,2
County of Hawaii,01-06,US Senator,,L,"MALLAN, Lloyd Jeffrey",0,0,7,7
County of Hawaii,01-06,US Representative,2,L,"BROCK, Pat",0,0,6,6
County of Hawaii,01-06,US Representative,2,D,"HIRONO, Mazie",0,0,271,271
County of Hawaii,01-06,US Representative,2,N,"VON SONN, Andrew Vsevolod",0,0,6,6
County of Hawaii,01-06,US Representative,2,R,"WILLOUGHBY, John W.",0,0,52,52
County of Hawaii,01-06,Governor,,D,ABERCROMBIE / SCHATZ,0,0,221,221
County of Hawaii,01-06,Governor,,R,AIONA / FINNEGAN,0,0,123,123
County of Hawaii,01-06,Governor,,F,CUNNINGHAM / SPENCE,0,0,1,1
County of Hawaii,01-06,Governor,,N,POLLARD / KAMA,0,0,1,1
County of Hawaii,01-06,State Representative,1,R,"D'ALMEIDA, Eric Paul",0,0,67,67
County of Hawaii,01-06,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,250,250
County of Hawaii,01-07,US Senator,,G,"BREWER, Jim",0,0,8,8
County of Hawaii,01-07,US Senator,,R,"CAVASSO, Cam",0,0,50,50
County of Hawaii,01-07,US Senator,,D,"INOUYE, Daniel K.",0,0,224,224
County of Hawaii,01-07,US Senator,,N,"JARRETT, Jeff",0,0,4,4
County of Hawaii,01-07,US Senator,,L,"MALLAN, Lloyd Jeffrey",0,0,6,6
County of Hawaii,01-07,US Representative,2,L,"BROCK, Pat",0,0,7,7
County of Hawaii,01-07,US Representative,2,D,"HIRONO, Mazie",0,0,209,209
County of Hawaii,01-07,US Representative,2,N,"VON SONN, Andrew Vsevolod",0,0,2,2
County of Hawaii,01-07,US Representative,2,R,"WILLOUGHBY, John W.",0,0,59,59
County of Hawaii,01-07,Governor,,D,ABERCROMBIE / SCHATZ,0,0,199,199
County of Hawaii,01-07,Governor,,R,AIONA / FINNEGAN,0,0,96,96
County of Hawaii,01-07,Governor,,F,CUNNINGHAM / SPENCE,0,0,2,2
County of Hawaii,01-07,Governor,,N,POLLARD / KAMA,0,0,1,1
County of Hawaii,01-07,State Representative,1,R,"D'ALMEIDA, Eric Paul",0,0,72,72
County of Hawaii,01-07,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,212,212
County of Hawaii,01-08,US Senator,,G,"BREWER, Jim",0,0,2,2
County of Hawaii,01-08,US Senator,,R,"CAVASSO, Cam",0,0,35,35
County of Hawaii,01-08,US Senator,,D,"INOUYE, Daniel K.",0,0,73,73
County of Hawaii,01-08,US Senator,,N,"JARRETT, Jeff",0,0,2,2
County of Hawaii,01-08,US Senator,,L,"MALLAN, Lloyd Jeffrey",0,0,2,2
County of Hawaii,01-08,US Representative,2,L,"BROCK, Pat",0,0,3,3
County of Hawaii,01-08,US Representative,2,D,"HIRONO, Mazie",0,0,70,70
County of Hawaii,01-08,US Representative,2,N,"VON SONN, Andrew Vsevolod",0,0,2,2
County of Hawaii,01-08,US Representative,2,R,"WILLOUGHBY, John W.",0,0,35,35
County of Hawaii,01-08,Governor,,D,ABERCROMBIE / SCHATZ,0,0,65,65
County of Hawaii,01-08,Governor,,R,AIONA / FINNEGAN,0,0,48,48
County of Hawaii,01-08,Governor,,F,CUNNINGHAM / SPENCE,0,0,0,0
County of Hawaii,01-08,Governor,,N,POLLARD / KAMA,0,0,0,0
County of Hawaii,01-08,State Representative,1,R,"D'ALMEIDA, Eric Paul",0,0,37,37
County of Hawaii,01-08,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,61,61
County of Hawaii,01-09,US Senator,,G,"BREWER, Jim",0,0,11,11
County of Hawaii,01-09,US Senator,,R,"CAVASSO, Cam",0,0,87,87
County of Hawaii,01-09,US Senator,,D,"INOUYE, Daniel K.",0,0,329,329
County of Hawaii,01-09,US Senator,,N,"JARRETT, Jeff",0,0,0,0
County of Hawaii,01-09,US Senator,,L,"MALLAN, Lloyd Jeffrey",0,0,7,7
County of Hawaii,01-09,US Representative,2,L,"BROCK, Pat",0,0,17,17
County of Hawaii,01-09,US Representative,2,D,"HIRONO, Mazie",0,0,309,309
County of Hawaii,01-09,US Representative,2,N,"VON SONN, Andrew Vsevolod",0,0,3,3
County of Hawaii,01-09,US Representative,2,R,"WILLOUGHBY, John W.",0,0,85,85
County of Hawaii,01-09,Governor,,D,ABERCROMBIE / SCHATZ,0,0,296,296
County of Hawaii,01-09,Governor,,R,AIONA / FINNEGAN,0,0,148,148
County of Hawaii,01-09,Governor,,F,CUNNINGHAM / SPENCE,0,0,0,0
County of Hawaii,01-09,Governor,,N,POLLARD / KAMA,0,0,3,3
County of Hawaii,01-09,State Representative,1,R,"D'ALMEIDA, Eric Paul",0,0,105,105
County of Hawaii,01-09,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,292,292
County of Hawaii,02-01,US Senator,,G,"BREWER, Jim",0,0,22,22
County of Hawaii,02-01,US Senator,,R,"CAVASSO, Cam",0,0,184,184
County of Hawaii,02-01,US Senator,,D,"INOUYE, Daniel K.",0,0,779,779
County of Hawaii,02-01,US Senator,,N,"JARRETT, Jeff",0,0,7,7
County of Hawaii,02-01,US Senator,,L,"MALLAN, Lloyd Jeffrey",0,0,7,7
County of Hawaii,02-01,US Representative,2,L,"BROCK, Pat",0,0,16,16
County of Hawaii,02-01,US Representative,2,D,"HIRONO, Mazie",0,0,735,735
County of Hawaii,02-01,US Representative,2,N,"VON SONN, Andrew Vsevolod",0,0,7,7
County of Hawaii,02-01,US Representative,2,R,"WILLOUGHBY, John W.",0,0,206,206
County of Hawaii,02-01,Governor,,D,ABERCROMBIE / SCHATZ,0,0,643,643
County of Hawaii,02-01,Governor,,R,AIONA / FINNEGAN,0,0,381,381
County of Hawaii,02-01,Governor,,F,CUNNINGHAM / SPENCE,0,0,1,1
County of Hawaii,02-01,Governor,,N,POLLARD / KAMA,0,0,4,4
County of Hawaii,02-01,State Representative,2,D,"CHANG, Jerry Leslie",0,0,693,693
County of Hawaii,02-01,State Representative,2,R,"VANNATTA, Sharon (DeMello)",0,0,260,260
County of Hawaii,02-02,US Senator,,G,"BREWER, Jim",0,0,15,15
County of Hawaii,02-02,US Senator,,R,"CAVASSO, Cam",0,0,93,93
County of Hawaii,02-02,US Senator,,D,"INOUYE, Daniel K.",0,0,460,460
County of Hawaii,02-02,US Senator,,N,"JARRETT, Jeff",0,0,5,5
County of Hawaii,02-02,US Senator,,L,"MALLAN, Lloyd Jeffrey",0,0,6,6
County of Hawaii,02-02,US Representative,2,L,"BROCK, Pat",0,0,11,11
County of Hawaii,02-02,US Representative,2,D,"HIRONO, Mazie",0,0,423,423
County of Hawaii,02-02,US Representative,2,N,"VON SONN, Andrew Vsevolod",0,0,2,2
County of Hawaii,02-02,US Representative,2,R,"WILLOUGHBY, John W.",0,0,116,116
County of Hawaii,02-02,Governor,,D,ABERCROMBIE / SCHATZ,0,0,374,374
County of Hawaii,02-02,Governor,,R,AIONA / FINNEGAN,0,0,215,215
County of Hawaii,02-02,Governor,,F,CUNNINGHAM / SPENCE,0,0,1,1
County of Hawaii,02-02,Governor,,N,POLLARD / KAMA,0,0,4,4
County of Hawaii,02-02,State Representative,2,D,"CHANG, Jerry Leslie",0,0,440,440
County of Hawaii,02-02,State Representative,2,R,"VANNATTA, Sharon (DeMello)",0,0,125,125
County of Hawaii,02-03,US Senator,,G,"BREWER, Jim",0,0,27,27
County of Hawaii,02-03,US Senator,,R,"CAVASSO, Cam",0,0,159,159
County of Hawaii,02-03,US Senator,,D,"INOUYE, Daniel K.",0,0,821,821
County of Hawaii,02-03,US Senator,,N,"JARRETT, Jeff",0,0,11,11
County of Hawaii,02-03,US Senator,,L,"MALLAN, Lloyd Jeffrey",0,0,12,12
County of Hawaii,02-03,US Representative,2,L,"BROCK, Pat",0,0,15,15
County of Hawaii,02-03,US Representative,2,D,"HIRONO, Mazie",0,0,811,811
County of Hawaii,02-03,US Representative,2,N,"VON SONN, Andrew Vsevolod",0,0,8,8
