county,precinct,office,district,party,candidate,absentee,early_votes,election_day,votes
County of Hawaii,01-01,U.S. Senate,,D,"SCHATZ, Brian",422,56,269,747
County of Hawaii,01-01,U.S. Senate,,D,"REYES, Arturo",11,0,10,21
County of Hawaii,01-01,U.S. Senate,,D,"HONEYCHURCH, Tutz",4,1,5,10
County of Hawaii,01-01,U.S. Senate,,D,"SHIRATORI, Miles",19,1,5,25
County of Hawaii,01-01,U.S. Senate,,D,"CHRISTENSEN, Makani",15,2,21,38
County of Hawaii,01-01,U.S. Senate,,A,"GIUFFRE, John M. (Raghu)",0,0,0,0
County of Hawaii,01-01,U.S. Senate,,C,"ALLISON, Joy J.",0,0,0,0
County of Hawaii,01-01,U.S. Senate,,R,"CARROLL, John",27,6,19,52
County of Hawaii,01-01,U.S. Senate,,R,"GOTTSCHALK, Karla (Bart)",3,0,3,6
County of Hawaii,01-01,U.S. Senate,,R,"ROCO, John P.",5,1,1,7
County of Hawaii,01-01,U.S. Senate,,R,"PIRKOWSKI, Eddie",2,0,1,3
County of Hawaii,01-01,U.S. Senate,,L,"KOKOSKI, Michael A.",3,0,2,5
County of Hawaii,01-01,U.S. House,2,N,"TURNER, Richard L.",0,1,0,1
County of Hawaii,01-01,U.S. House,2,D,"GABBARD, Tulsi",418,46,277,741
County of Hawaii,01-01,U.S. House,2,D,"CHAN HODGES, Shay",47,14,30,91
County of Hawaii,01-01,U.S. House,2,R,"HAFNER, Eric",10,3,8,21
County of Hawaii,01-01,U.S. House,2,R,"KAAIHUE, Angela Aulani",19,4,15,38
County of Hawaii,01-01,State Representative,1,D,"KIMBALL, Heather L.",79,18,72,169
County of Hawaii,01-01,State Representative,1,D,"NAKASHIMA, Mark M.",383,44,222,649
County of Hawaii,01-01,State Representative,1,R,"YOUNG, Byron",26,7,20,53
County of Hawaii,01-02,U.S. Senate,,D,"SCHATZ, Brian",152,9,94,255
County of Hawaii,01-02,U.S. Senate,,D,"REYES, Arturo",3,0,3,6
County of Hawaii,01-02,U.S. Senate,,D,"HONEYCHURCH, Tutz",4,0,3,7
County of Hawaii,01-02,U.S. Senate,,D,"SHIRATORI, Miles",9,1,3,13
County of Hawaii,01-02,U.S. Senate,,D,"CHRISTENSEN, Makani",8,1,9,18
County of Hawaii,01-02,U.S. Senate,,A,"GIUFFRE, John M. (Raghu)",0,0,0,0
County of Hawaii,01-02,U.S. Senate,,C,"ALLISON, Joy J.",0,0,0,0
County of Hawaii,01-02,U.S. Senate,,R,"CARROLL, John",11,1,8,20
