COUNTY,DISTRICT-PRECINCT BOUNDARY,PRECINCT,POLLING PLACE,ADDRESS
County of Hawaii,01-01,01-01,"Honokaa High School, Cafeteria",45-527 Pakalana St
County of Hawaii,01-02,01-02,"Paauilo Elementary School, Cafeteria",43-1497 Old Main Rd
County of Hawaii,01-03,01-03,Papaaloa Gym,35-1994 Government Main Rd
County of Hawaii,01-04,01-04,"Honohina Hongwanji, Social Hall",32-896 Mamalahoa Hwy
County of Hawaii,01-05,01-05,"Kulaimano Community Center, Hall",28-2892 Alia St
County of Hawaii,01-06,01-06,"Kalanianaole Elementary & Intermediate School, Cafeteria",27-330 Mamalahoa Hwy
County of Hawaii,01-07,01-07,"Puueo Multi-Culture Center, Hall",145 Wainaku St
County of Hawaii,01-08,01-08,"Ernest B DeSilva Elementary School, Cafeteria",278 Ainako Ave
County of Hawaii,01-09,01-09,"Kaumana Elementary School, Cafeteria",1710 Kaumana Dr
County of Hawaii,02-01,02-01,"Hilo High School, Cafeteria",556 Waianuenue Ave
County of Hawaii,02-02,02-02,Edith Kanakaole Tennis Stadium,350 Kalanikoa St
County of Hawaii,02-03,02-03,"Keaukaha Elementary School, Cafeteria",240 Desha Ave
County of Hawaii,02-04,02-04,"Waiakea Elementary School, Cafeteria",180 W Puainako St
County of Hawaii,02-05,02-05,"Waiakea High School, Cafeteria",155 W Kawili St
County of Hawaii,03-01,03-01,AJA Memorial Hall,361 Haihai St
County of Hawaii,03-02,03-02,"Keaau Elementary School, Cafeteria",16-680 Keeau-Pahoa Rd
County of Hawaii,03-03,03-03,Vote By Mail Precinct,
County of Hawaii,03-04,03-04,"Keaau Middle School, Cafeteria",16-565 Keaau-Pahoa Rd
County of Hawaii,03-05,03-05,"Mountain View Elementary School, Cafeteria",18-1235 Volcano Rd
County of Hawaii,03-06,03-06,"Cooper Center, Community Center",19-4030 Wright Rd
County of Hawaii,03-07,03-07,"Kau High School, Cafeteria",96-3150 Pikake St
County of Hawaii,04-01,04-01,Hawaiian Paradise Park Community Center,Makuu Dr
County of Hawaii,04-02,04-02,"Keonepoko Elementary School, Cafeteria",15-890 Kahakai Blvd
County of Hawaii,04-03,04-03,"Pahoa Community Center, Community Center",15-3022 Kauhale St
County of Hawaii,04-04,04-04,"Pahoa High/Intermediate School, Cafeteria",15-3038 Pahoa Village Rd
